age,sex,s,n
78,female,0.027461782,0.972538218
78,male,0.027556775,0.972443225
79,female,0.025380503,0.974619497
79,male,0.0250134,0.9749866
80,female,0.023453156,0.976546844
80,male,0.022699288,0.977300712
81,female,0.022210611,0.977789389
81,male,0.022011444,0.977988556
82,female,0.021032478,0.978967522
82,male,0.021343988,0.978656012
83,female,0.019915564,0.980084436
83,male,0.020696343,0.979303657
84,female,0.018856821,0.981143179
84,male,0.020067946,0.979932054
85,female,0.017853337,0.982146663
85,male,0.01945825,0.98054175
86,female,0.016902335,0.983097665
86,male,0.018866721,0.981133279
87,female,0.016001164,0.983998836
87,male,0.018292839,0.981707161
88,female,0.015147301,0.984852699
88,male,0.017736098,0.982263902
89,female,0.014338338,0.985661662
89,male,0.017196004,0.982803996
90,female,0.013571983,0.986428017
90,male,0.016672078,0.983327922
91,female,0.012846055,0.987153945
91,male,0.016163852,0.983836148
92,female,0.012158476,0.987841524
92,male,0.015670872,0.984329128
93,female,0.01150727,0.98849273
93,male,0.015192695,0.984807305
94,female,0.010890558,0.989109442
94,male,0.01472889,0.98527111
95,female,0.010306553,0.989693447
95,male,0.01427904,0.98572096
96,female,0.009753557,0.990246443
96,male,0.013842736,0.986157264
97,female,0.009229955,0.990770045
97,male,0.013419582,0.986580418
98,female,0.008734213,0.991265787
98,male,0.013009192,0.986990808
99,female,0.008264876,0.991735124
99,male,0.012611192,0.987388808
100,female,0.00782056,0.99217944
100,male,0.012225218,0.987774782
101,female,0.007399951,0.992600049
101,male,0.011850915,0.988149085
102,female,0.007001805,0.992998195
102,male,0.011487939,0.988512061
103,female,0.006624937,0.993375063
103,male,0.011135955,0.988864045
104,female,0.006268226,0.993731774
104,male,0.010794638,0.989205362
105,female,0.005930607,0.994069393
105,male,0.010463671,0.989536329
106,female,0.00561107,0.99438893
106,male,0.010142748,0.989857252
107,female,0.005308658,0.994691342
107,male,0.00983157,0.99016843
108,female,0.005022462,0.994977538
108,male,0.009529847,0.990470153
109,female,0.004751621,0.995248379
109,male,0.009237297,0.990762703
